run_id,approach,learning_rate,batch_size,warmup_ratio,lora_r,f1_2class,f1_3class,best_epoch
fft_lr1e-05_bs8_w0.06,fft,1e-05,8,0.06,N/A,0.7104,0.526,-1
fft_lr1e-05_bs8_w0.1,fft,1e-05,8,0.1,N/A,0.5964,0.3985,-1
fft_lr1e-05_bs16_w0.06,fft,1e-05,16,0.06,N/A,0.6268,0.4356,-1
fft_lr1e-05_bs16_w0.1,fft,1e-05,16,0.1,N/A,0.6433,0.4603,-1
fft_lr2e-05_bs8_w0.06,fft,2e-05,8,0.06,N/A,0.5576,0.3716,-1
fft_lr2e-05_bs8_w0.1,fft,2e-05,8,0.1,N/A,0.5979,0.4323,-1
fft_lr2e-05_bs16_w0.06,fft,2e-05,16,0.06,N/A,0.5891,0.4519,-1
fft_lr2e-05_bs16_w0.1,fft,2e-05,16,0.1,N/A,0.5657,0.3992,-1
fft_lr3e-05_bs8_w0.06,fft,3e-05,8,0.06,N/A,0.6184,0.4463,-1
fft_lr3e-05_bs8_w0.1,fft,3e-05,8,0.1,N/A,0.6461,0.4682,-1
fft_lr3e-05_bs16_w0.06,fft,3e-05,16,0.06,N/A,0.5706,0.4339,-1
fft_lr3e-05_bs16_w0.1,fft,3e-05,16,0.1,N/A,0.62,0.3887,-1
lora_lr1e-04_bs8_w0.06_r8,lora,0.0001,8,0.06,8,0.6548,0.4372,-1
lora_lr1e-04_bs8_w0.06_r16,lora,0.0001,8,0.06,16,0.6278,0.445,-1
lora_lr1e-04_bs8_w0.06_r32,lora,0.0001,8,0.06,32,0.6448,0.4466,-1
lora_lr1e-04_bs8_w0.1_r8,lora,0.0001,8,0.1,8,0.6694,0.447,-1
lora_lr1e-04_bs8_w0.1_r16,lora,0.0001,8,0.1,16,0.65,0.4626,-1
lora_lr1e-04_bs8_w0.1_r32,lora,0.0001,8,0.1,32,0.6389,0.3746,-1
lora_lr1e-04_bs16_w0.06_r8,lora,0.0001,16,0.06,8,0.5597,0.3468,-1
lora_lr1e-04_bs16_w0.06_r16,lora,0.0001,16,0.06,16,0.5585,0.3477,-1
lora_lr1e-04_bs16_w0.06_r32,lora,0.0001,16,0.06,32,0.6077,0.3952,-1
lora_lr1e-04_bs16_w0.1_r8,lora,0.0001,16,0.1,8,0.6184,0.3934,-1
lora_lr1e-04_bs16_w0.1_r16,lora,0.0001,16,0.1,16,0.6192,0.361,-1
lora_lr1e-04_bs16_w0.1_r32,lora,0.0001,16,0.1,32,0.6794,0.4365,-1
lora_lr5e-04_bs8_w0.06_r8,lora,0.0005,8,0.06,8,0.6405,0.4314,-1
lora_lr5e-04_bs8_w0.06_r16,lora,0.0005,8,0.06,16,0.6366,0.4981,-1
lora_lr5e-04_bs8_w0.06_r32,lora,0.0005,8,0.06,32,0.6189,0.4582,-1
lora_lr5e-04_bs8_w0.1_r8,lora,0.0005,8,0.1,8,0.6327,0.4386,-1
lora_lr5e-04_bs8_w0.1_r16,lora,0.0005,8,0.1,16,0.6573,0.522,-1
lora_lr5e-04_bs8_w0.1_r32,lora,0.0005,8,0.1,32,0.5671,0.3209,-1
lora_lr5e-04_bs16_w0.06_r8,lora,0.0005,16,0.06,8,0.6045,0.3856,-1
lora_lr5e-04_bs16_w0.06_r16,lora,0.0005,16,0.06,16,0.582,0.4114,-1
lora_lr5e-04_bs16_w0.06_r32,lora,0.0005,16,0.06,32,0.6448,0.4822,-1
lora_lr5e-04_bs16_w0.1_r8,lora,0.0005,16,0.1,8,0.6739,0.473,-1
lora_lr5e-04_bs16_w0.1_r16,lora,0.0005,16,0.1,16,0.6299,0.4579,-1
lora_lr5e-04_bs16_w0.1_r32,lora,0.0005,16,0.1,32,0.6251,0.448,-1
lora_lr1e-03_bs8_w0.06_r8,lora,0.001,8,0.06,8,0.6039,0.4169,-1
lora_lr1e-03_bs8_w0.06_r16,lora,0.001,8,0.06,16,0.2678,0.0506,-1
lora_lr1e-03_bs8_w0.06_r32,lora,0.001,8,0.06,32,0.2678,0.0506,-1
lora_lr1e-03_bs8_w0.1_r8,lora,0.001,8,0.1,8,0.6098,0.442,-1
lora_lr1e-03_bs8_w0.1_r16,lora,0.001,8,0.1,16,0.2678,0.0506,-1
lora_lr1e-03_bs8_w0.1_r32,lora,0.001,8,0.1,32,0.3881,0.2588,-1
lora_lr1e-03_bs16_w0.06_r8,lora,0.001,16,0.06,8,0.6158,0.43,-1
lora_lr1e-03_bs16_w0.06_r16,lora,0.001,16,0.06,16,0.6184,0.4137,-1
lora_lr1e-03_bs16_w0.06_r32,lora,0.001,16,0.06,32,0.5746,0.399,-1
lora_lr1e-03_bs16_w0.1_r8,lora,0.001,16,0.1,8,0.5967,0.4472,-1
lora_lr1e-03_bs16_w0.1_r16,lora,0.001,16,0.1,16,0.6656,0.4651,-1
lora_lr1e-03_bs16_w0.1_r32,lora,0.001,16,0.1,32,0.6352,0.4419,-1
